"plot","site","tree","core","species","year","notes","Lon","Lat","CORNER","stand","order","burn.regime","burn.n","burn.last","elevation","aspect","tpi","slope"
"A1","MEW",1470,"E","QURU","2007",NA,-88.0459108414627,41.8152478160844,"N-115","A",1,"none",0,NA,751.405412533933,9.4787819687358,0.00591920289479889,0.291816194464898
"B5","MEW",1498,"E","QUMA","90's",NA,-88.0390331151431,41.8173438953762,"U-134","B",5,"none",0,NA,698.832705678664,33.16041340917,-0.00497798367711892,0.187892351709523
"B5","MEW",1498,"N","QUMA","90's","break near pith",-88.0390331151431,41.8173438953762,"U-134","B",5,"none",0,NA,698.832705678664,33.16041340917,-0.00497798367711892,0.187892351709523
"C6","MEW",1411,"N","QUAL",NA,NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1427,"E","QUAL","1995",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1427,"E","QUAL","1996",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1433,"E","QUAL","1875",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1433,"E","QUAL","1996",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1433,"N","QUAL","1996",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1433,"N","QUAL","1998",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1433,"N","QUAL","1999",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1433,"N","QUAL","2009",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1436,"N","QUAL","1995",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1436,"N","QUAL","1996",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1436,"N","QUAL","2001",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1436,"N","QUAL","2002",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1436,"N","QUAL","2011",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1436,"W","QUAL","1940",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1436,"W","QUAL","2000",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1436,"W","QUAL","2011",NA,-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"C6","MEW",1440,"N","QUAL","2011","~1"" from pith",-88.0461554342419,41.8207353250069,"HH-115","C",6,"some",1,2012,725.749218888267,91.6435269676628,0.00440544449395732,0.176713238322083
"D1","MEW",1482,"E","QUAL","1988",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1482,"N","QUAL","1989",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1482,"N","QUAL","2001",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1488,"N","QURU","2007",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1488,"N","QURU","2013",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"E","QUMA","1989",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"E","QUMA","1994",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"E","QUMA","1995",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"E","QUMA","1999",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"E","QUMA","2007",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"N","QUMA","1896",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"N","QUMA","1897",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"N","QUMA","1898",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"N","QUMA","1992",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"N","QUMA","1994",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"D1","MEW",1491,"N","QUMA","2008",NA,-88.0413671861842,41.8120660173926,"B-127","D",1,"lots",14,2015,782.129611796718,69.4774508725669,0.00413372901178175,0.112706556658863
"A5","MEW",13,"A","QUMA","1995",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A5","MEW",24,"A","QUMA","1993",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A5","MEW",24,"A","QUMA","1994",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A5","MEW",24,"A","QUMA","2000",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A5","MEW",24,"A","QUMA","2001",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A5","MEW",24,"B","QUMA","1993",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A5","MEW",24,"B","QUMA","1994",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A5","MEW",24,"B","QUMA","2001",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A5","MEW",24,"B","QUMA","2002",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A5","MEW",24,"B","QUMA","2011",NA,-88.0481584286845,41.8162900689356,"R-109","A",5,"none",0,NA,713.311075713813,-14.0957295009321,-0.00440964093037459,0.179615266014997
"A6","MEW",4,"A","QUAL","1995",NA,-88.0481219297765,41.8154673722188,"O-109","A",6,"none",0,NA,739.240518084608,105.228788575837,0.0112136272016182,0.370301362944101
"A6","MEW",4,"A","QUAL","2009",NA,-88.0481219297765,41.8154673722188,"O-109","A",6,"none",0,NA,739.240518084608,105.228788575837,0.0112136272016182,0.370301362944101
"A6","MEW",4,"A","QUAL","2010",NA,-88.0481219297765,41.8154673722188,"O-109","A",6,"none",0,NA,739.240518084608,105.228788575837,0.0112136272016182,0.370301362944101
"A6","MEW",4,"B","QUAL","1995",NA,-88.0481219297765,41.8154673722188,"O-109","A",6,"none",0,NA,739.240518084608,105.228788575837,0.0112136272016182,0.370301362944101
"A6","MEW",4,"B","QUAL","2005",NA,-88.0481219297765,41.8154673722188,"O-109","A",6,"none",0,NA,739.240518084608,105.228788575837,0.0112136272016182,0.370301362944101
"A6","MEW",4,"B","QUAL","2008",NA,-88.0481219297765,41.8154673722188,"O-109","A",6,"none",0,NA,739.240518084608,105.228788575837,0.0112136272016182,0.370301362944101
"A6","MEW",4,"B","QUAL","2010",NA,-88.0481219297765,41.8154673722188,"O-109","A",6,"none",0,NA,739.240518084608,105.228788575837,0.0112136272016182,0.370301362944101
"B2","MEW",35,"A","QUAL","1991",NA,-88.0397539369073,41.8170507232659,"T-132","B",2,"none",0,NA,712.868028229358,38.3917131413776,-0.00211279376659518,0.230843818911945
"B2","MEW",35,"A","QUAL","1996",NA,-88.0397539369073,41.8170507232659,"T-132","B",2,"none",0,NA,712.868028229358,38.3917131413776,-0.00211279376659518,0.230843818911945
"B2","MEW",35,"A","QUAL","2005",NA,-88.0397539369073,41.8170507232659,"T-132","B",2,"none",0,NA,712.868028229358,38.3917131413776,-0.00211279376659518,0.230843818911945
"B3","MEW",41,"A","QURU","2003",NA,-88.0389355683269,41.8151485429661,"M-134","B",3,"none",0,NA,727.630129615402,20.3100720743302,-0.00584538572246693,0.288771451982535
"D11","MEW",52,"B","QUMA","1993",NA,-88.0432484062445,41.8131173849797,"F-122","D",11,"lots",14,2015,778.8010512513,-94.1764610814279,9.49710994571834e-05,0.184928114028275
"D11","MEW",52,"B","QUMA","2006",NA,-88.0432484062445,41.8131173849797,"F-122","D",11,"lots",14,2015,778.8010512513,-94.1764610814279,9.49710994571834e-05,0.184928114028275
