"CORNER","Type","Burn_Date","Burn_Year","Burn_Season","Location","Acres","NOTES"
"O-109","URF",NA,NA,NA,NA,NA,NA
"R-109","URF",NA,NA,NA,NA,NA,NA
"T-132","URF",2017-11-29,2017,"Fall","Far East Woods",0,NA
"A-128","URF",2012-11-29,2012,"Fall","South 40",40,NA
"A-128","URF",NA,NA,NA,NA,40.49,NA
"A-128","URF",2007-11-01,2007,"Fall","South 40",30.3679,NA
"A-128","URF",2006-11-27,2006,"Fall","South 40",40.5636,NA
"A-128","URF",NA,NA,NA,NA,40.6,NA
"A-128","URF",NA,NA,NA,NA,19.128,NA
"A-128","URF",NA,NA,NA,"South 40",40.4405,NA
"A-128","URF",2007-11-01,2007,"Fall","South 40",30.4,NA
"A-128","URF",NA,NA,NA,NA,36.9805,NA
"A-128","URF",NA,NA,NA,"South 40",40.4864,NA
"A-128","URF",NA,NA,NA,NA,0,NA
"A-128","URF",NA,2013,NA,NA,40.44,"2013 unsure on date"
"A-128","URF",NA,NA,NA,"South 40",40.7249,NA
"A-128","URF",2015-04-01,2015,"Spring","South 40",34.1,NA
"M-134","URF",2017-11-29,2017,"Fall","Far East Woods",0,NA
"N-115","Permanent ",NA,NA,NA,NA,NA,NA
"U-134","Permanent ",2017-11-29,2017,"Fall","Far East Woods",0,NA
"HH-115","Permanent ",2012-12-05,2012,"Fall","Woodland Trail",14.9,NA
"B-127","Permanent ",NA,NA,NA,NA,40.49,NA
"B-127","Permanent ",2012-11-29,2012,"Fall","South 40",40,NA
"B-127","Permanent ",NA,NA,NA,NA,19.128,NA
"B-127","Permanent ",NA,NA,NA,"South 40",40.4405,NA
"B-127","Permanent ",2007-11-01,2007,"Fall","South 40",30.4,NA
"B-127","Permanent ",NA,NA,NA,NA,36.9805,NA
"B-127","Permanent ",NA,NA,NA,"South 40",40.4864,NA
"B-127","Permanent ",NA,NA,NA,NA,0,NA
"B-127","Permanent ",NA,2013,NA,NA,40.44,"2013 unsure on date"
"B-127","Permanent ",2006-11-27,2006,"Fall","South 40",40.5636,NA
"B-127","Permanent ",2015-04-01,2015,"Spring","South 40",34.1,NA
"B-127","Permanent ",2007-11-01,2007,"Fall","South 40",30.3679,NA
"B-127","Permanent ",NA,NA,NA,"South 40",40.7249,NA
"B-127","Permanent ",NA,NA,NA,NA,40.6,NA
"F-122","URF",2012-11-29,2012,"Fall","South 40",40,NA
"F-122","URF",NA,NA,NA,NA,40.6,NA
"F-122","URF",NA,NA,NA,NA,19.128,NA
"F-122","URF",NA,NA,NA,"South 40",40.4405,NA
"F-122","URF",2007-11-01,2007,"Fall","South 40",30.4,NA
"F-122","URF",NA,NA,NA,NA,36.9805,NA
"F-122","URF",NA,NA,NA,"South 40",40.4864,NA
"F-122","URF",NA,NA,NA,NA,0,NA
"F-122","URF",NA,2013,NA,NA,40.44,"2013 unsure on date"
"F-122","URF",2006-11-27,2006,"Fall","South 40",40.5636,NA
"F-122","URF",2015-04-01,2015,"Spring","South 40",34.1,NA
"F-122","URF",NA,NA,NA,NA,40.49,NA
"F-122","URF",2007-11-01,2007,"Fall","South 40",30.3679,NA
"F-122","URF",NA,NA,NA,"South 40",40.7249,NA
