Date,Plot,IMLS_Plot,Tag,X,Y,Sp_code,DBH,Canopy,Vigor,Coreable,Core.count,Comments
2017-06-14,C6,HH-115,1406,7.06,0.23,ACSA,17.3,I,1,Y,2,
2017-06-14,C6,HH-115,1407,16.00,3.20,PRSE,13.3,I,1,Y,3,
2017-06-14,C6,HH-115,1408,1.11,5.11,PRSE,12.2,I,5,Y,?,
2017-06-14,C6,HH-115,1409,4.66,6.50,ACSA,11.9,I,5,Y,2,"orginial entry ACSA, changed to ULRU by S. Lopezalles based on tree core 2017-07-27"
2017-06-14,C6,HH-115,1410,7.82,6.63,PRSE,9.3,I,5,N,0,no canopy
2017-06-14,C6,HH-115,1411,8.45,6.07,QUAL,54.7,CD,1,Y,2,
2017-06-14,C6,HH-115,1412,8.44,9.83,TIAM,11.0,U,1,Y,2,
2017-06-14,C6,HH-115,1413,10.13,5.35,PRSE,11.4,U,2,Y,2,
2017-06-14,C6,HH-115,1414,11.51,8.83,PRSE,15.5,U,1,Y,2,
2017-06-14,C6,HH-115,1415,14.07,6.39,PRSE,12.9,U,1,Y,2,
2017-06-14,C6,HH-115,1416,15.82,7.56,ULRU,13.6,U,2,Y,2,
2017-06-14,C6,HH-115,1417,18.50,6.77,PRSE,14.3,I,1,Y,2,
2017-06-14,C6,HH-115,1418,1.71,10.94,ULRU,8.2,U,1,Y,0,
2017-06-14,C6,HH-115,1419,0.24,12.86,QURU,8.4,U,1,Y,0,
2017-06-14,C6,HH-115,1420,3.90,12.95,PRSE,14.4,I,2,Y,2,
2017-06-14,C6,HH-115,1421,5.05,11.03,PRSE,12.3,I,1,Y,2,
2017-06-14,C6,HH-115,1422,5.17,13.00,OSVI,12.2,I,1,,4,
2017-06-14,C6,HH-115,1423,5.61,13.83,PRSE,11.3,I,5,N,0,Rotton
2017-06-14,C6,HH-115,1424,8.86,12.24,PRSE,13.5,I,1,Y,3,
2017-06-14,C6,HH-115,1425,8.92,10.32,PRSE,12.9,I,5,N,0,
2017-06-14,C6,HH-115,1426,14.42,14.72,PRSE,18.1,I,1,Y,2,
2017-06-14,C6,HH-115,1427,15.38,11.12,QUAL,54.8,CD,1,Y,2,"original entry C, changed to CD by C. Rollinson 20 June 2017"
2017-06-14,C6,HH-115,1428,15.58,13.66,TIAM,10.1,U,1,Y,2,"orignal entry TIAL, changed to TIAM by C. Rollinson 20 June 2017"
2017-06-14,C6,HH-115,1429,16.16,11.02,PRSE,14.8,U,5,N,2,
2017-06-14,C6,HH-115,1430,19.75,12.84,ACSA,16.2,U,1,Y,2,
2017-06-14,C6,HH-115,1431,1.30,18.46,PRSE,10.6,U,5,N,0,
2017-06-14,C6,HH-115,1432,5.19,15.87,ACSA,2.7,U,1,N,0,
2017-06-14,C6,HH-115,1433,6.09,16.05,QUAL,65.6,CD,1,Y,2,
2017-06-14,C6,HH-115,1434,7.22,20.00,TIAM,9.5,U,1,Y,0,"orignal entry TIAL, changed to TIAM by C. Rollinson 20 June 2017"
2017-06-14,C6,HH-115,1435,7.24,20.00,TIAM,2.4,U,1,N,0,"orignal entry TIAL, changed to TIAM by C. Rollinson 20 June 2017"
2017-06-14,C6,HH-115,1436,7.27,18.18,QUAL,48.1,CD,1,Y,2,remeasure DBH?
2017-06-14,C6,HH-115,1437,9.84,18.31,QUAL,41.8,I,3,Y,2,
2017-06-14,C6,HH-115,1438,10.96,15.73,PRSE,8.3,U,1,,0,
2017-06-14,C6,HH-115,1439,15.01,19.24,PRSE,12.1,U,5,N,0,
2017-06-14,C6,HH-115,1440,17.33,19.25,QUAL,50.8,CD,1,Y,2,
2017-06-14,C6,HH-115,1441,17.88,16.86,PRSE,19.0,I,1,Y,2,
2017-06-15,A1,N-115,1442,1.75,2.07,QURU,44.9,CD,1,Y,2,
2017-06-15,A1,N-115,1443,5.54,4.83,ACSA,23.8,I,1,Y,2,
2017-06-15,A1,N-115,1444,18.03,0.40,QURU,43.8,CD,2,Y,2,
2017-06-15,A1,N-115,1445,7.02,8.61,ACSA,2.5,U,1,N,0,
2017-06-15,A1,N-115,1446,10.44,5.29,QURU,71.8,CD,2,Y,2,
2017-06-15,A1,N-115,1447,12.20,6.17,ACSA,18.2,I,1,Y,2,
2017-06-15,A1,N-115,1448,11.75,6.25,ACSA,2.1,U,1,N,0,
2017-06-15,A1,N-115,1449,11.90,9.30,ACSA,2.2,U,1,N,0,
2017-06-15,A1,N-115,1450,11.66,10.17,ACSA,3.4,U,1,Y,0,
2017-06-15,A1,N-115,1451,11.90,9.90,ACSA,33.4,CD,1,Y,2,
2017-06-15,A1,N-115,1452,5.05,11.89,TIAM,38.4,CD,1,Y,2,
2017-06-15,A1,N-115,1453,4.85,14.78,ACSA,3.1,U,1,N,0,
2017-06-15,A1,N-115,1454,6.71,12.67,OSVI,11.3,I,1,Y,2,
2017-06-15,A1,N-115,1455,6.82,14.54,OSVI,13.1,I,1,Y,2,
2017-06-15,A1,N-115,1456,12.92,12.06,TIAM,30.1,CD,1,Y,2,
2017-06-15,A1,N-115,1457,19.90,12.27,OSVI,10.6,U,1,Y,2,
2017-06-15,A1,N-115,1458,0.51,17.23,ACSA,3.3,U,1,N,0,
2017-06-15,A1,N-115,1459,1.60,16.04,ACSA,1.6,U,2,N,0,
2017-06-15,A1,N-115,1460,1.78,17.29,PRSE,50.1,CD,2,Y,2,
2017-06-15,A1,N-115,1461,2.79,18.37,TIAM,32.2,CD,1,Y,2,
2017-06-15,A1,N-115,1462,4.28,19.96,TIAM,19.2,I,1,Y,2,
2017-06-15,A1,N-115,1463,4.76,18.75,ACSA,1.9,U,3,N,0,
2017-06-15,A1,N-115,1464,6.16,17.37,ACSA,1.9,U,1,N,0,
2017-06-15,A1,N-115,1465,5.72,15.05,ACSA,1.4,U,1,N,0,
2017-06-15,A1,N-115,1466,8.15,16.14,OSVI,11.7,I,1,N,2,
2017-06-15,A1,N-115,1467,13.85,17.22,ACSA,1.7,U,1,N,0,
2017-06-15,A1,N-115,1468,9.09,15.68,ACSA,1.4,U,1,N,0,
2017-06-15,A1,N-115,1469,9.93,15.53,ACSA,1.4,U,1,N,0,
2017-06-15,A1,N-115,1470,9.48,18.82,QURU,51.4,D,1,Y,2,
2017-06-15,A1,N-115,1471,13.27,17.51,ACSA,9.3,U,2,Y,0,
2017-06-15,A1,N-115,1472,13.52,15.59,OSVI,17.5,I,1,N,2,
2017-06-15,A1,N-115,1473,14.67,15.38,FRAM,48.1,CD,5,Y,2,
2017-06-15,A1,N-115,1474,17.66,18.60,ACSA,20.9,CD,1,Y,2,
2017-06-15,A1,N-115,1475,19.93,18.73,ACSA,2.6,U,2,N,0,
2017-06-15,A1,N-115,1476,19.07,15.84,TIAM,33.2,CD,1,Y,2,
2017-06-15,D1,B-127,1477,0.81,1.75,ACSA,9.1,,3,Y,0,snapped at 2m
2017-06-15,D1,B-127,1478,0.91,3.32,TIAM ,21.2,CD,1,Y,2,
2017-06-15,D1,B-127,1479,3.93,4.71,ACSA,18.7,I,1,Y,2,
2017-06-15,D1,B-127,1480,5.98,4.69,ACSA,6.4,U,1,Y,0,
2017-06-15,D1,B-127,1481,7.11,2.69,PRSE,15.3,U,5,Y,2,
2017-06-15,D1,B-127,1482,10.43,1.36,QUAL,59.2,CD,1,Y,2,2004-9 old tag
2017-06-15,D1,B-127,1483,11.68,4.48,TIAM,25.9,I,1,Y,2,
2017-06-15,D1,B-127,1484,16.62,0.29,OSVI,9.5,U,2,Y,0,
2017-06-15,D1,B-127,1485,18.94,4.00,QURU,13.0,I,2,Y,3,
2017-06-15,D1,B-127,1486,0.39,5.58,TIAM,57.4,CD,1,Y,2,DBH 10 cm above tag
2017-06-15,D1,B-127,1487,4.85,6.36,OSVI,8.0,U,1,Y,0,
2017-06-15,D1,B-127,1488,17.60,8.77,QURU,61.0,CD,1,Y,2,
2017-06-15,D1,B-127,1489,1.47,13.76,ACSA,28.2,CD,1,Y,2,
2017-06-15,D1,B-127,1490,3.10,14.55,TIAM,25.9,CD,2,Y,0,
2017-06-15,D1,B-127,1491,5.73,11.16,QUMA,67.9,CD,1,Y,2,
2017-06-15,D1,B-127,1492,12.41,15.95,ACSA,27.9,I,1,Y,2,
2017-06-15,D1,B-127,1493,17.40,18.27,TIAM,17.6,U,1,Y,2,"orginial entry OSVI, changed to TIAM by S. Lopezalles based on tree core 2017-07-27"
2017-06-15,D1,B-127,1494,17.56,16.22,JUNI,54.0,CD,1,Y,2,
2017-06-15,D1,B-127,none,17.97,14.35,unknown,11.2,,5,N,0,Decay class 2
2017-06-15,B5,U-134,1495,7.94,0.81,ACSA,10.8,U,1,Y,2,
2017-06-15,B5,U-134,1496,11.72,2.97,ACSA,17.1,CD,1,Y,2,plus little branch = 4.6 cm
2017-06-15,B5,U-134,1497,12.91,4.80,ACSA,7.0,U,1,Y,0,
2017-06-15,B5,U-134,1498,3.62,8.55,QUMA,85.4,CD,1,Y,2,
2017-06-15,B5,U-134,1499,5.10,5.35,ACSA,28.5,I,1,Y,2,
2017-06-15,B5,U-134,1500,6.96,7.13,ACSA,5.6,U,1,N,0,
2017-06-15,B5,U-134,1602,4.97,9.73,ACSA,35.9,CD,1,Y,2,
2017-06-15,B5,U-134,1603,9.42,5.18,ACSA,12.4,I,1,Y,3,
2017-06-15,B5,U-134,1604,13.01,8.78,TIAM,40.8,CD,1,Y,2,
2017-06-15,B5,U-134,1605,16.39,5.76,ACSA,10.3,I,1,Y,2,
2017-06-15,B5,U-134,1606,3.65,10.16,FRAM,4.6,U,3,N,0,
2017-06-15,B5,U-134,1607,1.83,13.09,TIAM,4.6,U,2,N,0,
2017-06-15,B5,U-134,1608,6.96,12.68,ACSA,11.0,U,2,Y,2,
2017-06-15,B5,U-134,1609,12.22,14.18,ACSA,20.8,CD,1,Y,2,
2017-06-15,B5,U-134,1610,15.63,10.26,ACSA,8.8,U,1,Y,0,
2017-06-15,B5,U-134,1611,17.35,10.96,ACSA,8.0,I,1,Y,0,
2017-06-15,B5,U-134,1612,4.23,17.81,ACSA,28.8,CD,1,Y,2,
2017-06-15,B5,U-134,1613,3.53,19.24,ACSA,38.5,CD,1,Y,2,
2017-06-15,B5,U-134,1614,7.52,19.74,ACSA,6.8,U,2,Y,0,tree fell on it
2017-06-15,B5,U-134,1615,14.95,19.09,ACSA,30.5,CD,2,Y,2,
2017-06-15,B5,U-134,1616,17.40,18.14,ACSA,38.1,CD,1,Y,2,
