Stand,Plot,Tag,Species,DBH,Distance,Angle,Observer_height,Height,Canopy,Core_number,Date,Comments
A,O109,001,ACSA,10.5,2.5,62,1.61,6.311816163,U,0,2017-07-07,
A,O109,002,QUAL,69.4,8.5,51,1.61,12.10662583,CD,2,2017-07-07,
A,O109,003,ACSA,10.1,7.1,44,1.61,8.466390301,U,0,2017-07-07,
A,O109,004,QUAL,67.4,5.1,69,1.61,14.89595423,CD,2,2017-07-07,
A,O109,005,ACSA,43.3,6.9,63,1.61,15.15201249,CD,2,2017-07-07,
A,O109,006,TIAM,22.0,6.0,65,1.61,14.47704152,I,2,2017-07-07,
A,O109,007,ACSA,10.3,5.1,49,1.61,7.476878877,U,0,2017-07-07,
A,O109,008,ACSA,10.7,8.3,55,1.61,13.46362846,U,0,2017-07-07,
A,O109,009,ACSA,12.5,8.5,59,1.61,15.7563756,I,2,2017-07-07,
A,O109,010,OSVI,12.5,8.8,35,1.61,7.771826336,U,0,2017-07-07,
A,O109,011,ACSA,12.8,4.5,54,1.61,7.803718642,U,0,2017-07-07,
A,O109,012,ACSA,48.4,6.5,66,1.61,16.20923903,CD,2,2017-07-07,
A,R109,013,QUMA,77.6,6.8,72,1.61,22.53824805,D,2,2017-07-07,
A,R109,014,ACSA,24.9,3.0,77,1.61,14.60442762,I,2,2017-07-07,
A,R109,015,QUMA,62.0,6.7,61,1.61,13.69711996,CD,2,2017-07-07,
A,R109,016,ACSA,16.0,8.2,50,1.61,11.38237946,U,0,2017-07-07,
A,R109,017,ACSA,20.8,5.7,68,1.61,15.71799506,I,2,2017-07-07,
A,R109,018,ACSA,30.0,7.0,65,1.61,16.62154844,I,2,2017-07-07,
A,R109,019,ACSA,26.3,6.3,79,1.61,34.0206903,CD,2,2017-07-07,
A,R109,020,ACSA,23.4,6.7,75,1.61,26.61474041,I,0,2017-07-07,Bee hive
A,R109,021,ACSA,29.5,3.4,76,1.61,15.24665517,I,0,2017-07-07,Wound
A,R109,022,ULRU,14.7,5.3,56,1.61,9.467573133,I,2,2017-07-07,
A,R109,023,TIAM,86.2,7.6,53,1.61,11.69554064,CD,2,2017-07-07,Rotten 
D,A128,024,QUAL,89.8,5.4,79,1.61,29.39059169,CD,2,2017-07-07,Core A in two parts
D,A128,025,TIAM,22.2,8.3,58,1.61,14.89277659,I,3,2017-07-07,
D,A128,026,OSVI,12.2,8.2,41,1.61,8.73815125,U,0,2017-07-07,
D,A128,027,OSVI,19.7,7.1,59,1.61,13.42638432,I,2,2017-07-07,
D,A128,028,OSVI,10.1,8.5,35,1.61,7.561764075,U,0,2017-07-07,
D,A128,029,OSVI,11.4,6.4,43,1.61,7.578096551,U,0,2017-07-07,
D,A128,030,OSVI,12.5,3.5,60,1.61,7.672177826,I,0,2017-07-07,Slanted
,,999,FRAM,41.1,10.1,62,1.61,20.6053373,CD,2,2017-07-07,"Near A128, dead"
